Country;Life expectancy
Algeria;76.7
Angola;60.8
Benin;61.5
Botswana;69.3
Burkina Faso;61.2
Burundi;61.2
Cameroon;58.9
Cape Verde;72.8
Central African Republic;52.8
Chad;54.0
Comoros;64.1
Democratic Republic of the Congo;60.4
Djibouti;66.6
Egypt;71.8
Equatorial Guinea;58.4
Eritrea;65.9
Ethiopia;66.2
Gabon;66.2
Gambia;61.7
Ghana;63.8
Guinea;61.2
Guinea-Bissau;58.0
Ivory Coast;57.4
Kenya;66.3
Lesotho;53.7
Liberia;63.7
Libya;72.7
Madagascar;66.7
Malawi;63.8
Mali;58.9
Mauritania;64.7
Mauritius;74.4
Morocco;76.5
Mozambique;60.2
Namibia;63.4
Niger;62.0
Nigeria;54.3
Republic of the Congo;64.3
Rwanda;68.7
Senegal;67.7
Seychelles;72.8
Sierra Leone;54.3
Somalia;57.1
South Africa;63.9
South Sudan;57.6
Sudan;65.1
Swaziland;
Tanzania;65.0
Togo;60.8
Tunisia;76.5
Uganda;63.0
Zambia;63.5
Zimbabwe;61.2
