Country,Abbreviation,Agricultural Land( %),Birth Rate,Fertility Rate,Gasoline Price,GDP,Infant mortality,Life expectancy,Maternal mortality ratio,Minimum wage,Population,Population: Labor force participation (%),Total tax rate,Unemployment rate,Urban_population,Continent
Afghanistan,AF,58.10%,32.49,4.47,$0.70 ,"$19,101,353,833 ",47.9,64.5,638.0,$0.43 ,"38,041,754",48.90%,71.40%,11.12%,"9,797,273",Asia
Armenia,AM,58.90%,13.99,1.76,$0.77 ,"$13,672,802,158 ",11.0,74.9,26.0,$0.66 ,"2,957,731",55.60%,22.60%,16.99%,"1,869,848",Asia
Azerbaijan,AZ,57.70%,14.0,1.73,$0.56 ,"$39,207,000,000 ",19.2,72.9,26.0,$0.47 ,"10,023,318",66.50%,40.70%,5.51%,"5,616,165",Asia
Bahrain,BH,11.10%,13.99,1.99,$0.43 ,"$38,574,069,149 ",6.1,77.2,14.0,,"1,501,635",73.40%,13.80%,0.71%,"1,467,109",Asia
Bangladesh,BD,70.60%,18.18,2.04,$1.12 ,"$302,571,254,131 ",25.1,72.3,173.0,$0.51 ,"167,310,838",59.00%,33.40%,4.19%,"60,987,417",Asia
Bhutan,BT,13.60%,17.26,1.98,$0.98 ,"$2,446,674,101 ",24.8,71.5,183.0,$0.32 ,"727,145",66.70%,35.30%,2.34%,"317,538",Asia
Brunei,BN,2.70%,14.9,1.85,$0.37 ,"$13,469,422,941 ",9.8,75.7,31.0,,"433,285",64.70%,8.00%,9.12%,"337,711",Asia
Cambodia,KH,30.90%,22.46,2.5,$0.90 ,"$27,089,389,787 ",24.0,69.6,160.0,,"16,486,542",82.30%,23.10%,0.68%,"3,924,621",Asia
China,CN,56.20%,10.9,1.69,$0.96 ,"$19,910,000,000,000 ",7.4,77.0,29.0,$0.87 ,"1,397,715,000",68.00%,59.20%,4.32%,"842,933,962",Asia
Georgia,GE,34.50%,13.47,2.06,$0.76 ,"$17,743,195,770 ",8.7,73.6,25.0,$0.05 ,"3,720,382",68.30%,9.90%,14.40%,"2,196,476",Asia
India,IN,60.40%,17.86,2.22,$0.97 ,"$2,611,000,000,000 ",29.9,69.4,145.0,$0.30 ,"1,366,417,754",49.30%,49.70%,5.36%,"471,031,528",Asia
